,Name,Country,Years active,Proven victims,Possible victims,Notes,Start year,End year,Number of years active,involving children,torture,arsenist,strangulation,sexually motivated,cannibalism,abduction,poison,guns,prison,execution,mental institution,suicide,Methods of killing
90,José Antonio Rodríguez Vega,Spain,1987 to 1988,16,16+,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims.[99] He was stabbed to death by two inmates while incarcerated in 2002.",1987.0,1988,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
91,Elias Xitavhudzi,South Africa,1950s,16,16,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960.[100]",1950.0,1950,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
92,Jimmy Maketta,South Africa,2005,16,16,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.[101],2005.0,2005,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
93,Jack Mogale,South Africa,2008 to 2009,16,16,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault.[102]",2008.0,2009,1.0,0,0,0,1,1,0,1,0,1,0,0,0,0,3
94,Robert Lee Yates,United States,1975 to 1998,16,16,"Killed prostitutes in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences.[103]",1975.0,1998,23.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
95,Carroll Cole,United States,1948 to 1980,16,16,"Killed 16 people in California, Nevada, Texas.[104] Executed by lethal injection in 1985.",1948.0,1980,32.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
96,Charles Ray Hatcher,United States,1969 to 1982,16,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"".[105] Sentenced to life; committed suicide by hanging himself in prison in 1984.",1969.0,1982,13.0,0,0,0,0,1,0,0,0,1,1,0,1,1,2
97,Yuri Ivanov,Soviet Union,1974 to 1987,16,16,"Known as the ""Ust-Kamenogorsk Maniac""; Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987.[106]",1974.0,1987,13.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
98,Vladimir Mirgorod,Russia,2003 to 2004,16,16,"Known as ""The Strangler""; raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment.[107]",2003.0,2004,1.0,0,0,0,1,1,0,0,0,1,1,0,0,0,3
99,Lee Choon-jae,South Korea,1986 to 1994,16,,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated.[108] A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law.",1986.0,1994,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
100,Dorángel Vargas,Venezuela,1997 to 1999,15,,"Homeless cannibal known as ""The People Eater"" (El Comegente) and ""The Hannibal Lecter of the Andes"". Murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them.[109][110]",1997.0,1999,2.0,0,0,0,0,0,1,0,0,1,0,0,1,0,2
101,Ravinder Kumar,India,2008 to 2015,15,30+,Serial rapist who killed children of poor families.[111],2008.0,2015,7.0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
102,Atlanta Ripper,United States,1911,15,21,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total.[112]",1911.0,1911,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,Robert Hansen,United States,1980 to 1983,15,21,"Prostitutes he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 15 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014.[113]",1980.0,1983,3.0,0,0,0,0,1,0,1,0,1,0,0,0,0,2
104,Ángel Maturino Reséndiz,United States  Mexico,1986 to 1999,15,18,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006.[114]",1986.0,1999,13.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
105,Chester Turner,United States,1987 to 1998,15,15+,"Convicted of killing 15 people in Los Angeles, California in the 1980s and 1990s. Sentenced to death.[115]",1987.0,1998,11.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
106,Elifasi Msomi,South Africa,1950s to 1956,15,15,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.[116],1950.0,1956,6.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
107,Florencio Fernández,Argentina,1950s,15,15,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest.",1950.0,1950,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
108,Bai Baoshan,China,1983 to 1997,15,15,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.,1983.0,1997,14.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
109,Maurizio Minghella,Italy,1978 to 2001,15,15,"Killed five prostitutes; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment.[117]",1978.0,2001,23.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
110,Alexander Labutkin,Soviet Union,1933 to 1935,15,15,"Known as the ""One-Armed Bandit""; killed people in the forest near the Prigorodny settlement using a revolver; executed 1935.[118]",1933.0,1935,2.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
112,Carl Eugene Watts,United States,1974 to 1982,14,80+,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down.[119]",1974.0,1982,8.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
113,Philipp Tyurin,Soviet Union,1945 to 1946,14,29,"Known as the ""Leningrad Maniac"" and the ""Hellraiser""; murdered people for monetary reasons at his hut in Leningrad; executed 1947.[120]",1945.0,1946,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
114,Zdzisław Marchwicki,Poland,1964 to 1970,14,21+,"Also known as Vampire of Zagłębie. Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.[121]",1964.0,1970,6.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
115,Monster of Florence,Italy,1968 to 1985,14,16,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison.[122][123]",1968.0,1985,17.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
116,Joachim Kroll,West Germany,1955 to 1976,14,,"Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died from a heart attack in prison in 1991.[124]",1955.0,1976,21.0,0,0,0,0,0,1,0,0,1,1,0,0,0,2
117,Arthur Shawcross,United States,1972 to 1989,14,,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 141/2 years, he began killing again a year later, targeting prostitutes. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers,"" he strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008.[125]",1972.0,1989,17.0,1,0,0,1,1,0,0,0,1,0,0,0,0,4
118,The Doodler,United States,1974 to 1975,14,,"Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.[126]",1974.0,1975,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
119,Marcelo Costa de Andrade,Brazil,1991,14,,Known as The Vampire of Niterói. Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims. Found not guilty by reason of insanity.,1991.0,1991,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,3
120,Julio Pérez Silva,Chile,1998 to 2001,14,,Known as The Psychopath from Alto Hospicio; killed 14 women. Sentenced to life imprisonment in 2004.[127],1998.0,2001,3.0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
121,Sergey Shipilov,Russia,1995 to 1999,14,,"Known as the ""Velsk Chikatilo""; killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment.[128]",1995.0,1999,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
122,Abdufatto Zamanov,Russia,2002 to 2004,14,,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.[129],2002.0,2004,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
123,Jeong Nam-gyu,South Korea,2004 to 2006,14,,"Kidnapped, raped and murdered people; committed suicide.[130]",2004.0,2006,2.0,0,0,0,0,1,0,1,0,1,0,0,0,1,2
124,Amir Qayyum,Pakistan,2005,14,,"Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.[131]",2005.0,2005,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
125,Jake Bird,United States,1930s to 1947,13,44,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others.[132] Executed by hanging in 1949.,1930.0,1947,17.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
126,Belle Gunness,United States,1900? to 1908?,13,40+,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own.[133] Ultimate fate unknown.",1900.0,1908,8.0,1,0,0,0,0,0,0,1,1,0,0,0,0,3
127,Cleveland Torso Murderer,United States,1934 to 1938,13,40+,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.[134]",1934.0,1938,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
128,Kaspars Petrovs,Latvia,2003,13,38+,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.[135]",2003.0,2003,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,2
129,Richard Ramirez,United States,1984 to 1985,13,20,"Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles. Known as the ""Night Stalker"".[136][137] Ramirez was sentenced to death in 1989, and died of B-cell lymphoma in 2013 while still on death row.",1984.0,1985,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
130,Sleepy Hollow Killer,South Africa  South Africa,1990s to 2007,13,16+,"Raped and murdered women, mostly sex workers, around Pietermaritzburg and the Midlands of KwaZulu-Natal.[138]",1990.0,2007,17.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
131,Peter Sutcliffe,United Kingdom,1975 to 1980,13,15,"Killed 13 women between 30 October 1975, and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper.""[139] Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he will never be released. In 2015, he was declared ""no longer mentally ill,"" and transferred to a maximum security prison.",1975.0,1980,5.0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
132,Francisco Antonio Laureana,Argentina,1974 to 1975,13,13+,"Raped 15 women in San Isidro, killing 13 of them. Shot and killed during a firefight with police.[140]",1974.0,1975,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
133,Tamara Samsonova,Russia,1995 to 2015,13,13+,"Known as the ""Granny Ripper""; killed and allegedly cannibalized people in her apartment; committed to a psychiatric clinic.[141][142]",1995.0,2015,20.0,0,0,0,0,0,1,0,0,1,0,0,1,0,2
134,Herbert Mullin,United States,1972 to 1973,13,,"Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life.[143]",1972.0,1973,1.0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
135,Boston Strangler,United States,1962 to 1964,13,,"Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession.[144] Sentenced to life for a series of rapes, he was murdered in prison. DeSalvo's body was exhumed for DNA testing, and compared to a substance found on the exhumed body of the Boston Strangler's last victim. In 2001, it was declared not to match, but in 2013 officials announced that improvements in DNA extraction technology produced viable samples from the degraded evidence. DeSalvo's body was reexhumed and found to match.",1962.0,1964,2.0,0,0,0,1,1,0,0,0,1,1,0,0,0,3
136,Lorenzo Gilyard,United States,1977 to 1993,13,,"Known as ""The Kansas City Strangler"". Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.[145]",1977.0,1993,16.0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
137,Vladimir Storozhenko,Soviet Union,1978 to 1981,13,,"Known as the ""Smolensky Strangler""; tortured and murdered women for sexual pleasure; four other innocent men were initially convicted for his crimes; executed 1984.[146]",1978.0,1981,3.0,0,1,0,1,1,0,0,0,1,0,1,0,0,4
138,Vasiliy Kulik,Soviet Union,1984 to 1986,13,,Known as the Irkutsk Monster;[147] killed at least 13 victims from 1984–1986. Executed by firing squad in 1989.,1984.0,1986,2.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
139,Nikolai Dudin,Soviet Union  Russia,1987 to 2002,13,,"Known as the ""Grim Maniac""; killed his father in 1987, and after release, killed 12 more people while intoxicated; sentenced to life imprisonment.[148]",1987.0,2002,15.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
140,Denis Pischikov,Russia,2002 to 2003,13,,"Known at the ""Shivering Creature""; robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment.[149]",2002.0,2003,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
141,Nikolay Shubin,Russia,2004 to 2006,13,,Paranoid schizophrenic who killed people who beat him in chess games; sentenced to compulsory treatment.[150],2004.0,2006,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
142,Johannes Mashiane,South Africa,1982 to 1989,13,,"Known as ""The Beast of Atteridgeville"", he was found guilty of 13 counts of murder and 12 counts of sodomy from 1982–1989. Committed suicide by throwing himself under a bus while being pursued by police in 1989.[151]",1982.0,1989,7.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
143,Mukosi Freddy Mulaudzi,South Africa  South Africa,1990 to 2006,13,,"Known as ""The Limpopo Serial Killer""; escaped convict, originally responsible for two murders, who murdered 11 more after his prison escape; given 11 life sentences.[152]",1990.0,2006,16.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
144,Thozamile Taki,South Africa,2007,13,,"Known as the ""Sugar cane serial killer"",[153] he murdered 13 women. Convicted in 2010.",2007.0,2007,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
145,Rainbow Maniac,Brazil,2007 to 2008,13,,"Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba.[154]",2007.0,2008,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
146,Naceur Damergi,Tunisia,1980s to 1988,13,,Raped and killed minors in the Nabeul region; executed by hanging in 1990.[155],1980.0,1988,8.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
147,Adolf Seefeldt,German Empire  Weimar Republic  Nazi Germany,1908 to 1935,12,100,"Known as the ""Sandman""; sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total.[156] Executed by guillotine in 1936.",1908.0,1935,27.0,1,0,0,0,1,0,0,1,1,0,1,0,0,4
148,Donald Henry Gaskins,United States,1953 to 1982,12,31–80+,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 80 and 110 victims. Executed by electric chair in 1991.[157][self-published source]",1953.0,1982,29.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
149,William Suff,United States,1986 to 1992,12,22,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death.[158]",1986.0,1992,6.0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
150,Vladimir Romanov,Soviet Union  Russia,1991 to 2005,12,20,"Known as the ""Kaliningrad Maniac""; pedophile who raped and murdered girls and young women in the Kaliningrad Oblast; committed suicide while imprisoned.[159]",1991.0,2005,14.0,0,0,0,0,1,0,0,0,1,1,0,0,1,2
151,Maury Travis,United States,2000 to 2002,12,17,Killed prostitutes in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Committed suicide by hanging in prison.[160],2000.0,2002,2.0,0,0,0,0,1,0,0,0,1,1,0,0,1,2
152,Dennis Nilsen,United Kingdom,1978 to 1983,12,15–16[161],"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home.[162] Died from surgical complications in 2018.",1978.0,1983,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
153,Kenneth Bianchi,United States,1977 to 1978,12,15,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"".[163] Sentenced to imprisonment for life.",1977.0,1978,1.0,0,0,0,1,0,0,0,0,1,1,0,0,0,2
154,Charles Sobhraj,Thailand    Nepal  India  Malaysia,1975 to 1976,12,13,"French con man known as ""The Bikini Killer"" or ""The Serpent"" that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and from 2004 serving a life sentence in Nepal.[164]",1975.0,1976,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
155,Abdallah al-Hubal,Yemen,1990 to 1998,12,,"Killed seven people after a Yemeni reunion; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police.[165]",1990.0,1998,8.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
156,Nikolai Shestakov,Soviet Union,1975,12,,"Known as the ""Luberetsky Maniac""; truck driver who raped and killed girls and young women; supposedly executed in 1977.[166]",1975.0,1975,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
157,Anatoly Sedykh,Russia,1998 to 2003,12,,"Raped and killed women around Lipetsk, then robbed their corpses; sentenced to life imprisonment.[167]",1998.0,2003,5.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
158,Joseph Christopher,United States,1980 to 1981,12,,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer.[168]",1980.0,1981,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
159,"""Paraquat murders"" killer",Japan,1985,12,,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.,1985.0,1985,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
160,Enriqueta Martí,Spain,c.1900 to 1912,12,Unknown,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913.[169]",1900.0,1912,12.0,1,0,0,0,1,0,1,0,1,1,0,0,0,3
161,Herb Baumeister,United States,1990 to 1996,16,25+,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Committed suicide by shooting himself when faced with arrest.[170],1990.0,1996,6.0,0,0,0,1,0,0,0,0,1,0,0,0,1,2
162,John Bunting,Australia,1992 to 1999,11,,Ringleader in the Snowtown murders (aka Bodies in the Barrels Murders); sentenced to 11 consecutive life sentences without the possibility of parole.[171],1992.0,1999,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
163,Sergey Golovkin,Soviet Union  Russia,1986 to 1992,11,40+,Killed at least 11 boys in the Moscow area between 1986 and 1992.[172] Executed by gunshot in 1998; last person executed in Russia before the death penalty was abolished.,1986.0,1992,6.0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
164,Juana Barraza,Mexico,late 1990s to 2006,11,29–49,Female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.[173],1999.0,2006,7.0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
165,Zhang Yongming,China,2008 to 2012,11,17–20,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.[174],2008.0,2012,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
166,Jack Unterweger,Austria  United States  Czechoslovakia,1974 to 1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three prostitutes. Hanged himself in 1994 after being sentenced to life in prison.[175]",1974.0,1992,18.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
167,Vaughn Greenwood,United States,1964 to 1975,11,13,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drank their blood. Sentenced to imprisonment for life.[176]",1964.0,1975,11.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
168,Benjamin Atkins,United States,1991 to 1992,11,,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS.[177]",1991.0,1992,1.0,0,0,0,1,1,0,0,0,1,1,0,0,0,3
169,Nannie Doss,United States,1927 to 1954,11,,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59.[178]",1927.0,1954,27.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
170,Clifford Olson,Canada,1980 to 1981,11,,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected.[179] Died from cancer in 2011.",1980.0,1981,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
171,Henri Désiré Landru,France,1915 to 1919,11,Unknown,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922.[180]",1915.0,1919,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
172,West Mesa Killer,United States,2003 to 2005,11,,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.[181]",2003.0,2005,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
173,Anthony Sowell,United States,2007 to 2009,11,Unknown,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death.[182]",2007.0,2009,2.0,0,0,0,1,0,0,0,0,1,1,0,0,0,2
174,Andre Crawford,United States,1993 to 1999,11,,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.[183],1993.0,1999,6.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
175,Francisco García Escalero,Spain,1987 to 1994,11,,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 prostitutes and other homeless people between 1987 and 1994.[184] Died in 2014.",1987.0,1994,7.0,0,0,0,0,1,0,0,0,1,0,0,1,0,2
176,Robledo Puch,Argentina,1971,11,,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.[185],1971.0,1971,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
177,Adnan Çolak,Turkey,1992 to 1995,11,,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.,1992.0,1995,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
178,Seisaku Nakamura,Japan,1938 to 1942,11,,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having being born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging.[186]",1938.0,1942,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
179,Very Idham Henyansyah,Indonesia,2008 and earlier,11,,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death.[187]",2008.0,2008,0.0,0,0,0,0,1,0,0,0,1,1,1,0,0,2
180,Francisco de Assis Pereira,Brazil,1997 to 1998,11,,"Rapist and serial killer, known as ""O Maníaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years.[188]",1997.0,1998,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,3
181,Roshu Kha,Bangladesh,2008,11,,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.[189],2008.0,2008,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
182,Gao Chengyong,China,1998 to 2002,11,,"Known as ""Chinese Jack the Ripper""; killed women and then mutilated their corpses.[190] Executed in 2019.",1998.0,2002,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
183,Marie Alexandrine Becker,Belgium,1933 to 1936,11,,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.,1933.0,1936,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0,2
184,Ruslan Khamarov,Ukraine,2000 to 2003,11,,"Seduced, raped and then killed women in his home; sentenced to life imprisonment.[191]",2000.0,2003,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
185,Yevgeny Petrov,Russia,1998 to 2003,11,,"Known as the ""Novouralsk Ripper""; pedophile who kidnapped, raped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment.[192]",1998.0,2003,5.0,0,0,0,0,1,0,1,0,1,1,0,0,0,2
